E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
SPR; sepiapterin reductase [EC:1.1.1.153]
allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]
DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
CBR2; carbonyl reductase 2 [EC:1.1.1.184]
ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]
ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]
ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]
mdh; methanol dehydrogenase [EC:1.1.1.244]
E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]
dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
bdhAB; butanol dehydrogenase [EC:1.1.1.-]
lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
GULO; L-gulonolactone oxidase [EC:1.1.3.8]
glcD; glycolate oxidase [EC:1.1.3.15]
E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]
XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
ALO; D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]
betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
GLD; glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]
mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]
gfo; glucose-fructose oxidoreductase [EC:1.1.99.28]
frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
FDH; formate dehydrogenase [EC:1.17.1.9]
fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]
fdoH, fdsB; formate dehydrogenase iron-sulfur subunit
fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]
fdoI, fdsG; formate dehydrogenase subunit gamma
ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]
gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
aldB; aldehyde dehydrogenase [EC:1.2.1.-]
ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
AASDH; acyl-CoA synthetase [EC:6.2.1.-]
LYS2; L-2-aminoadipate reductase [EC:1.2.1.95]
argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
nahF; salicylaldehyde dehydrogenase [EC:1.2.1.65]
E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
AOX; aldehyde oxidase [EC:1.2.3.1]
E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]
PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
PORCN; O-palmitoleoyl transferase [EC:2.3.1.250]
K00183; prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit
K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit
K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit
vorA; 2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]
vorB; 2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]
vorD; 2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]
vorG; 2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]
cdhA; acetyl-CoA decarbonylase/synthase complex subunit alpha [EC:1.2.7.4]
cdhC; acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]
cdhD, acsD; acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]
cdhB; acetyl-CoA decarbonylase/synthase complex subunit epsilon
cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
cdhE, acsC; acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]
cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
fwdH; 4Fe-4S ferredoxin
fwdF, fmdF; 4Fe-4S ferredoxin
DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
E1.3.1.12; prephenate dehydrogenase [EC:1.3.1.12]
TYR1; prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]
BLVRA, bvdR; biliverdin reductase [EC:1.3.1.24]
dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]
por; protochlorophyllide reductase [EC:1.3.1.33]
fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
E4.99.1.2; alkylmercury lyase [EC:4.99.1.2]
TM7SF2, ERG24; Delta14-sterol reductase [EC:1.3.1.70]
ERG4; Delta24(24(1))-sterol reductase [EC:1.3.1.71]
GLDH; L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]
pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]
SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]
CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit
sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit
sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00243; uncharacterized protein
frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
frdC; fumarate reductase subunit C
frdD; fumarate reductase subunit D
ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]
ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]
GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]
ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
E1.3.99.16; isoquinoline 1-oxidoreductase [EC:1.3.99.16]
mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]
ald; alanine dehydrogenase [EC:1.4.1.1]
gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]
GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]
GLT1; glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
gltB; glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]
gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]
pdh; phenylalanine dehydrogenase [EC:1.4.1.20]
vdh; valine dehydrogenase (NAD+) [EC:1.4.1.23]
DDO; D-aspartate oxidase [EC:1.4.3.1]
DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]
MAO, aofH; monoamine oxidase [EC:1.4.3.4]
pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]
nadB; L-aspartate oxidase [EC:1.4.3.16]
CKX; cytokinin dehydrogenase [EC:1.5.99.12]
LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]
gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]
gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]
E1.4.7.1; glutamate synthase (ferredoxin) [EC:1.4.7.1]
dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
ALDH1L; formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]
LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]
E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
MTD1; methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]
E1.5.1.19; D-nopaline dehydrogenase [EC:1.5.1.19]
metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
ceo; N5-(carboxyethyl)ornithine synthase [EC:1.5.1.24]
ssuE; FMN reductase [EC:1.5.1.38]
E1.5.3.1; sarcosine oxidase [EC:1.5.3.1]
soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.1]
soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]
soxD; sarcosine oxidase, subunit delta [EC:1.5.3.1]
soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.1]
PIPOX; sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]
SE; pyrimidodiazepine synthase [EC:1.5.4.1]
ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
WNT3; wingless-type MMTV integration site family, member 3
fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]
SARDH; sarcosine dehydrogenase [EC:1.5.8.3]
DMGDH; dimethylglycine dehydrogenase [EC:1.5.8.4]
spdH; spermidine dehydrogenase [EC:1.5.99.6]
dmd-tmd; dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
PRODH; proline dehydrogenase [EC:1.5.-.-]
mtd; methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]
mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]
NNT; NAD(P) transhydrogenase [EC:1.6.1.2]
pntA; NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]
pntB; NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]
E1.6.2.2; cytochrome-b5 reductase [EC:1.6.2.2]
POR; NADPH-ferrihemoprotein reductase [EC:1.6.2.4]
E1.6.5.3; NADH dehydrogenase [EC:1.6.5.3]
nuoA; NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]
nuoB; NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]
nuoC; NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]
nuoD; NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]
nuoE; NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]
nuoF; NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]
nuoG; NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]
nuoH; NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]
nuoI; NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]
nuoJ; NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]
nuoK; NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]
nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
nuoM; NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]
nuoN; NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]
qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]
nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:1.6.5.8]
nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:1.6.5.8]
nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.8]
nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:1.6.5.8]
nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:1.6.5.8]
nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:1.6.5.8]
E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]
NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
E1.6.99.3; NADH dehydrogenase [EC:1.6.99.3]
QDPR; dihydropteridine reductase [EC:1.5.1.34]
nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]
nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]
E1.7.1.7, guaC; GMP reductase [EC:1.7.1.7]
uaZ; urate oxidase [EC:1.7.3.3]
nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]
narB; ferredoxin-nitrate reductase [EC:1.7.7.2]
nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]
nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW
narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]
K00375; GntR family transcriptional regulator / MocR family aminotransferase
nosZ; nitrous-oxide reductase [EC:1.7.2.4]
cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]
trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]
asrC; anaerobic sulfite reductase subunit C
SUOX; sulfite oxidase [EC:1.8.3.1]
yidH; putative membrane protein
cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]
aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]
mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
K00400; methyl coenzyme M reductase system, component A2
mcrB; methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
mcrG; methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]
ccoN; cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]
ccoO; cytochrome c oxidase cbb3-type subunit II
ccoP; cytochrome c oxidase cbb3-type subunit III
ccoQ; cytochrome c oxidase cbb3-type subunit IV
fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit
UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]
CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit
CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit
QCR2, UQCRC2; ubiquinol-cytochrome c reductase core subunit 2
QCR6, UQCRH; ubiquinol-cytochrome c reductase subunit 6
QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7
QCR8, UQCRQ; ubiquinol-cytochrome c reductase subunit 8
QCR9, UCRC; ubiquinol-cytochrome c reductase subunit 9
QCR10, UQCR; ubiquinol-cytochrome c reductase subunit 10
E1.10.3.1; polyphenol oxidase [EC:1.10.3.1]
E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]
cydA; cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14]
cydB; cytochrome bd ubiquinol oxidase subunit II [EC:1.10.3.14]
lldP, lctP; L-lactate permease
E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]
E1.11.1.7; peroxidase [EC:1.11.1.7]
gpx; glutathione peroxidase [EC:1.11.1.9]
cpo; non-heme chloroperoxidase [EC:1.11.1.10]
E1.11.1.11; L-ascorbate peroxidase [EC:1.11.1.11]
hemQ; Fe-coproporphyrin III decarboxylase [EC:1.11.1.-]
hoxH; NAD-reducing hydrogenase large subunit [EC:1.12.1.2]
hydB; [NiFe] hydrogenase large subunit [EC:1.12.2.1]
frhA; coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]
frhB; coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]
frhD; coenzyme F420 hydrogenase subunit delta
frhG; coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]
WNT5; wingless-type MMTV integration site family, member 5
WNT6; wingless-type MMTV integration site family, member 6
dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]
